Site Code,Site Name,Site Responsible,Site Latitude,Site Longitude,IGBP Cde
SE-Lnn,Lanna,Leif Klemedtsson| Per Weslien,58.34062958,13.10176754,CRO
SE-Myc,Mycklemossen,Per Weslien,58.365,12.16937,WET
SE-Nor,Norunda,Anders Lindroth| Meelis Mölder,60.08649722,17.47950278,ENF
SE-Oes,Oestergarnsholm,Anna Rutgersson,57.4301,18.98415,WAT
SE-Ros,Rosinedal-3,Matthias Peichl,64.1725,19.738,ENF
SE-Sgr,Skogaryd,Per Weslien,58.363853,12.14973,ENF
SE-Sk1,Skyttorp 1,Achim Grelle,60.125,17.91805556,ENF
SE-Sk2,Skyttorp 2,Anders Lindroth,60.12966667,17.84005556,ENF
SE-St1,Stordalen grassland,Joachim Jansen| Thomas Friborg,68.3541488,19.050333,WET
SE-St2,Stordalen forest,Anders Lindroth,68.35424444,19.04714444,DBF
SE-Sto,Stordalen Palsa Bog (ICOS),Thomas Friborg,68.35600281,19.04520988,WET
SE-Svb,Svartberget,Matthias Peichl,64.25611,19.7745,ENF
SG-TKr,Telok Kurau,Matthias Roth,1.314294,103.911197,URB
SJ-Adv,Adventdalen,Torben Christensen,78.186,15.923,WET
SJ-Blv,Bayelva, Spitsbergen,Julia Boike,78.92163086,11.83108521
SK-Ta1,Tatra Jamy,Dario Papale,49.15833333,20.26111111,ENF
SK-Ta2,Tatra Vysne Hagy,Dario Papale,49.12638889,20.10777778,ENF
SK-Tat,Tatra Danielov Dom,Dario Papale,49.1207778,20.1635,ENF
SN-Dhr,Dahra,Torbern Tagesson,15.40278,-15.43222,SAV
SN-Nkr,Niakhar,Olivier Roupsard,14.49581,-16.45357,CRO
UA-Pet,Petrodolinskoe,Medinets Volodymyr,46.45614,30.33609,CRO
UG-Jin,Jinja,Matthew Saunders ,0.4,33.18333333,WET
UK-AMo,Auchencorth Moss,Eiko Nemitz,55.7925,-3.24362,WET
UK-BBB,Bishop's Burton Bioenergy,Ross Morrison,53.86104,-0.4909216,CRO
UK-BBC,Bishop's Burton Cropland,Ross Morrison,53.86088,-0.4865083,CRO
UK-BmE,Balmoral Estate,Rebekka Artz,56.93,-3.16,WET
UK-BnB,Ballynahone Bog,Ross Morrison,54.82326,-6.669835,WET
UK-EBu,Easter Bush,Marc Sutton,55.866,-3.205777778,GRA
UK-ESa,East Saltoun,John Moncrieff,55.9069444,-2.85861111,CRO
UK-GaB,Garry Bog,Ross Morrison,55.10994,-6.529928,WET
UK-Gnn,Glenullin,Ross Morrison,54.96185,-6.760763,WET
UK-Gri,Griffin,John Moncrieff,56.6072222,-3.79805556,ENF
UK-Gwr,Glenwherry,Ross Morrison,54.85464,-5.988278,WET
UK-Ham,Hampshire,Matthew Wilkinson,51.153533,-0.8583,DBF
UK-Har,Harwood,John Grace,55.21272222,-2.037527777,ENF
UK-Her,Hertfordshire,Keith Goulding,51.78379822,-0.47608,CRO
UK-LBT,London_BT,Carole Helfter,51.5215,-0.1389,URB
UK-Myg,Myerscough,Ross Morrison,53.854618,-2.779574,GRA
UK-PL1,Pang/Lambourne crop,Richard Harding,51.53329849,-1.483330011,CRO
UK-PL2,Pang/Lambourne grassland,Richard Harding,51.43330002,-1.233330011,GRA
UK-PL3,Pang/Lambourne forest,Richard Harding,51.45,-1.266666667,DBF
UK-Png,Penglais_EC1,Jon McCalmont,52.422332,-4.068402,CRO
UK-Pob,Pollybell,Ross Morrison,53.430831,-0.922198,CRO
UK-Rsh,Riseholme,Ross Morrison,53.25981,-0.5257917,CRO
UK-Stm,Stretham,Ross Morrison,52.331415,0.224473,CRO
UK-Tad,Tadham Moor,Richard Harding,51.20709991,-2.828639984,GRA
ZA-Kru,Skukuza,Azwitamisi Mudau,-25.0197,31.4969,SAV
ZA-Map,Malopeni,Azwitamisi Mudau,-23.83254,31.21436,SAV
ZA-Wgn,Welgegund,Lauri Laakso,-26.56944444,26.93916667,GRA
ZM-Mon,Mongu,Werner Kutsch,-15.4391,23.2525,DBF
