Site Code,Site Name,Site Responsible,Site Latitude,Site Longitude,IGBP Cde
FR-Avi,Avignon,Albert Olioso,43.91608333,4.878055556,CRO
FR-Bil,Bilos,Denis Loustau,44.493672,-0.956082,ENF
FR-CLt,Col du Lautaret,Didier Voisin,45.04127,6.4106,GRA
FR-Cou,Couhins,Jean-Pierre Gaudillère,44.75555556,-0.555555556,CRO
FR-EM1,Estrées-Mons A27,Bruno Mary,49.8721083,3.02065,CRO
FR-EM2,Estrees-Mons A28,joel Leonard,49.8721083,3.02065,CRO
FR-FBn,Font-Blanche,Guillaume Simioni,43.24079,5.67865,MF
FR-Fgs,Fougères,Longdoz Bernard,48.38,-1.18,DBF
FR-Fon,Fontainebleau-Barbeau,Eric Dufrêne| EFDC Staff,48.476358,2.780096,DBF
FR-Gri,Grignon,Pierre Cellier| EFDC Staff| Benjamin Loubet,48.84422,1.95191,CRO
FR-Hes,Hesse,Matthias Cuntz,48.6741,7.06465,DBF
FR-Lam,Lamasquere,Aurore Brut,43.49648,1.23785,CRO
FR-LBr,Le Bray,Denis Loustau| EFDC Staff,44.71711,-0.7693,ENF
FR-LGt,La Guette,Sebastien Gogo,47.322917,2.284102,WET
FR-Lq1,Laqueuille intensive,Katja Klumpp,45.64305556,2.735833333,GRA
FR-Lq2,Laqueuille extensive,Katja Klumpp,45.63919444,2.737027778,GRA
FR-Lus,Lusignan,Francois Gastal,46.41425,0.12065,GRA
FR-Mau,Mauzac,Jean-Christophe Calvet,43.38527778,1.292222222,GRA
FR-Mej,Mejusseaume,Christophe Flechard,48.1183815,-1.796318293,GRA
FR-MsS,Montiers sur Saulx,Catherine Galy,48.53816,5.31187,DBF
FR-OnV,Osne-le-Val,Sébastien Conil,48.50846,5.213463,GRA
FR-Pue,Puechabon,Richard Joffre,43.7413,3.5957,EBF
FR-Tou,Toulouse,Jean-Christophe Calvet,43.572855,1.37474,GRA
GF-Cpg,Carpagg ,Vincent Blanfort,5.3531,-53.004,GRA
GF-Guy,Guyaflux (French Guiana),Damien Bonal,5.278771877,-52.92486191,EBF
GF-Nrg,Nouragues European Tropical Research Station,EFDC Staff| Jérôme Chave,4.0423,-52.67495,EBF
GH-Ank,Ankasa,Riccardo Valentini,5.26854275,-2.69420592,EBF
GL-Dsk,Disko,Thomas Friborg,69.2535,-53.514,SNO
GL-Kbf,Kobbefjord,Thomas Friborg,64.1382,-51.3784,GRA
GL-NuF,Nuuk Fen,Birger U Hansen,64.13083,-51.38611,WET
GL-ZaF,Zackenberg Fen,EFDC Staff| Marcin Antoni Jackowicz-Korczynski,74.48143,-20.55452,WET
GL-ZaH,Zackenberg Heath,Magnus Lund,74.47328,-20.5503,GRA
GR-HeK,Heraklion Kornarou,Nektarios Chrysoulakis,35.3361,25.1328,URB
GR-HeM,Heraklion Mastabas,Nektarios Chrysoulakis,35.3234,25.1302,URB
GR-Vcs,Vocals,Spyridon Rapsomanikis,40.889737,24.84893,GRA
HR-Jst,Jastrebarsko oak forest,Hrvoje Marjanovic ,45.6194,15.6877,DBF
HU-Bug,Bugac,Zoltan Nagy,46.69110107,19.60129929,GRA
HU-He1,Hegyhatsal,Zoltan BARCZA,46.955947,16.652025,CRO
HU-He2,Hegyhatsal tower 2,Zoltan Barcza,46.95515,16.652661,GRA
HU-Mat,Matra,Zoltan Nagy,47.84690094,19.72599983,GRA
HU-Spr,Sopron,Attila Eredics,47.6558725,16.4544737,DBF
IE-Ca1,Carlow crop,Bruce Osborne| Mike Jones,52.85879167,-6.918136111,CRO
IE-Ca2,Carlow  grassland,Mike Jones,52.86758,-6.91117,GRA
IE-CaC,Carlow Conventional Tillage,Bruce Osborne,52.85879167,-6.918136111,CRO
IE-CaN,Carlow No Tillage,Bruce Osborne,52.85879167,-6.918136111,CRO
IE-CLa,Co. Laois,Bruce Osborne| Matthew Saunders ,52.95,-7.25,ENF
IE-Cra,Clara,Matthew Saunders ,53.3229786,-7.641769886,WET
IE-Dgm,Donoughmore,Gerard Kiely,51.986179,-8.753931,DBF
IE-Dri,Dripsey,Gerard Kiely,51.9866944,-8.75180556,GRA
IE-Gwr,Gowran,Gari Lanigan| Macdara O'Neill,52.6365,-7.011306,CRO
IE-Kil,Killorglin - Glencar ,Gerard Kiely,51.96836111,-9.900305556,WET
IE-Wex,Wexford,Gerard Kiely,52.29819444,-6.499777777,GRA
IL-Yat,Yatir,Dan Yakir,31.34504459,35.05198851,ENF
IN-CRR,Central Rice Research Institute (CRRI),Tapan Kumar Adhya| Pratap Bhattacharyya,20.45188333,85.94026667,CRO
IS-Gun,Gunnarsholt,,63.83330154,-20.2166996,DBF
IT-Amp,Amplero,Dario Papale,41.90409927,13.60515669,GRA
IT-BCi,Borgo Cioffi,Vincenzo Magliulo| EFDC Staff,40.52375,14.95744444,CRO
IT-Be1,Beano1,Alessandro Peressotti,46.00361,13.02556,CRO
IT-Be2,Beano2,Alessandro Peressotti,46.00431,13.02776,CRO
IT-BFt,Bosco Fontana,Giacomo Gerosa,45.197835,10.742019,DBF
IT-Bon,Bonis,Giuseppe Scarascia Mugnozza| Giorgio Matteucci,39.47777778,16.53472222,ENF
IT-BsB,Bussoleno Bosco,Mesmer N'sassila,45.11835,7.16198,DBF
IT-Bsn,Bussoleno,Mesmer N'sassila,45.119313,7.16049,GRA
IT-CA1,Castel d'Asso1,Dario Papale,42.38041111,12.02656111,DBF
IT-CA2,Castel d'Asso2,Dario Papale| Beniamino Gioli,42.37721944,12.02603889,CRO
IT-CA3,Castel d'Asso 3,Giorgio Matteucci| Dario Papale,42.38,12.0222,DBF
IT-Cas,Castellaro,Ignacio Goded| Giovanni Manca,45.07004722,8.717522222,CRO
IT-CdD,Casalina di Deruta,Alessandra Vinci,42.950231,12.381827,CRO
IT-Cng,Cantaglia,Alessandra Lagomarsino,44.71,11.53,CRO
IT-Col,Collelongo,Giorgio Matteucci,41.84936,13.58814,DBF
IT-Cp2,Castelporziano2,Silvano Fares ,41.70426559,12.35729313,EBF
IT-Cpz,Castelporziano,Dario Papale,41.7052493,12.3761058,EBF
IT-Ctv,Castelvetrano,Marianna Nardino,37.64416,12.84638,CRO
IT-Gln,Giugliano,Paul di Tommasi,40.94711666,14.11708888,URB
IT-Isp,Ispra ABC-IS,Ignacio Goded| Giovanni Manca,45.812643,8.633579,DBF
IT-La2,Lavarone2,Alessandro Cescatti,45.9542,11.2853,ENF
IT-Lav,Lavarone,Damiano Gianelle,45.9562,11.28132,ENF
IT-Lec,Lecceto,Lorenzo Genesio,43.30359,11.26975,EBF
IT-LMa,La Mandria,Fabio Petrella,45.15258,7.58259,DBF
IT-Lsn,Lison,Andrea Pitacco,45.740481,12.750297,OSH
IT-Mal,Malga Arpaco,Carlo Calfapietra,46.11402,11.70334,GRA
IT-MBo,Monte Bondone,Damiano Gianelle,46.014678,11.045831,GRA
IT-MPn,Monte Pino ,Nazzareno Diodato,41.1073,14.7416,CRO
IT-Mrs,Marsciano,Alessandra Vinci,42.927225,12.3651,CRO
IT-MsN,Masseria Nola,Alfonso Senatore,39.71472,16.27806,DBF
IT-MtM,Muntatschinig Meadow,Georg Wohlfahrt,46.687021,10.579757,GRA
IT-MtP,Muntatschinig Pasture,Georg Wohlfahrt,46.684285,10.585237,GRA
IT-Neg,Negrisia - Ponte di Piave,Andrea Pitacco,45.74756389,12.44673056,CRO
IT-Niv,Nivolet,Antonello Provenzale,45.49091,7.13943,GRA
IT-Noe,Arca di Noe - Le Prigionette,Donatella Spano| Pierpaolo Duce,40.606176,8.151694,CSH
IT-Non,Nonantola,Franco Miglietta,44.69019,11.09109,MF
IT-OVr,Osservatorio Valerio,Carolina Vagnoli,43.912014,12.904041,URB
IT-OXm,Osservatorio Ximeniano,Beniamino Gioli,43.77446388,11.25524166,URB
IT-PCm,Parco Urbano di Capodimonte,Carlo Calfapietra,40.8741,14.2504,EBF
IT-Pia,Pianosa,Vaccari Francesco Primo,42.5838694,10.0784,OSH
IT-PT1,Parco Ticino forest,Ignacio Goded| Giovanni Manca,45.20087222,9.061038889,DBF
IT-Ren,Renon,Stefano Minerbi| Leonardo Montagnani,46.58686,11.43369,ENF
IT-Ro1,Roccarespampani 1,Dario Papale,42.40812,11.93001,DBF
IT-Ro2,Roccarespampani 2,Dario Papale,42.39026,11.92093,DBF
IT-Ro3,Roccarespampani3,Dario Papale,42.37539,11.91542,CRO
IT-Ro4,Roccarespampani4,Dario Papale,42.37333,11.91922,CRO
IT-Rut,Rutigliano,Rossana M. Ferrara,40.993753,17.03274,CRO
IT-Sas,Sassari,Donatella Spano,40.716957,8.575956,URB
IT-SMc,San Marcellino,Daniela Famulari,40.84725555,14.25781666,URB
IT-SPC,San Pietro Capofiume,Giovanni Bonafe,44.653869,11.62277,GRA
IT-SR2,San Rossore 2,Nicola Arriga,43.732022,10.29091,ENF
IT-SRo,San Rossore,Ignacio Goded| Giovanni Manca,43.72786111,10.28444444,ENF
IT-Ter,Terranova,Donatella Spano,40.70377778,9.398166667,MF
IT-To1,Tolfa wet,Dario Papale,42.18967363,11.92155414,EBF
IT-To2,Tolfa dry,Dario Papale,42.18967363,11.92155414,EBF
IT-Tol,Tolfa,Dario Papale,42.18967,11.92155,EBF
IT-Tor,Torgnon,Edoardo Cremonese,45.84444,7.578055,GRA
IT-TrF,Torgnon-LD,Marta Galvagno,45.82376,7.56089,DNF
IT-VdA,Valle dell'Adige,Damiano Gianelle,46.19678,11.11354,CRO
IT-Vig,Vigevano,Ignacio Goded| Giovanni Manca,45.29591,8.87554,DBF
ML-AgG,Agoufou G,Laurent Kergoat| Franck Timouk,15.34322,-1.48067,GRA
ML-AgS,Agoufou S,Laurent Kergoat,15.49961667,1.390083333,
